,mol_id,Smiles
290,1344,COc1ccc(N2CCN(c3nc(Nc4ccc(C#N)c(C(F)(F)F)c4)nc(Oc4ncnc5ccccc45)n3)CC2)cc1
441,351,Cc1ccc(-c2cc(-c3nc4ccccc4[nH]3)nc(N)n2)cc1
411,338,CCN1CCN(CC2SC(c3cccc(F)c3)N(c3ccc(Nc4nc(Oc5cc(=O)n(C)c6ccccc56)nc(N(C)C)n4)cc3)C2=O)CC1
443,1080,Cc1ccc(C2SCC(=O)N2c2ccc(Nc3nc(Oc4ccc5c(C)cc(=O)oc5c4)nc(N(C)C)n3)cc2)cc1
1227,77,CCn1cc(C(=O)NNS(=O)(=O)c2ccc(C)cc2)c(=O)c2cc(Cl)ccc21
356,1129,CCn1cc(C(=O)NCCC(=O)N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c(=O)c2ccc(C)nc21
345,165,COc1cc(-c2nc3cc(F)ccc3[nH]2)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
365,526,O=c1c2c3c(sc2nnn1-c1ccc(F)cc1)CCCC3
53,90,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
179,1352,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
177,33,COc1ccc(CN2CCN(c3nc(Nc4ccc(C#N)c(C(F)(F)F)c4)nc(Oc4ccnc5ccccc45)n3)CC2)c(OC)c1OC
1212,30,N#Cc1ccc(Nc2nc(Oc3ccnc4ccccc34)nc(N3CCN(c4cccc(Cl)c4Cl)CC3)n2)cc1C(F)(F)F
622,642,CCC(=O)NC1=NN(C(=O)CC)C2(S1)C1CCCC2C(c2ccccc2Cl)NC1c1ccccc1Cl
651,434,O=[N+]([O-])c1ccc(-c2nnc3n2ccc2nnc(-c4ccc([N+](=O)[O-])cc4)n23)cc1
650,649,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
960,1071,O=C1CSC(c2ccc(O)cc2)N1CCN1CCNCC1
1235,1513,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
69,381,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
12,1452,O=C1c2cccc3c(Sc4nc5ccccc5n4Cc4ccc(Cl)cc4Cl)ccc(c23)C(=O)N1CCCCn1c[n+](Cc2ccccc2Cl)cn1
1481,518,O=C1CCCC2=C1C(c1cn(-c3ccccc3)nc1-c1ccc(Cl)cc1)CC(=O)N2c1ccc(F)cc1
957,5,COc1c(N2CCN(c3nnc(-c4ncc([N+](=O)[O-])n4C)s3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1498,318,COc1ccc(CN2CCN(c3nc(Nc4ccc(C#N)c(C(F)(F)F)c4)nc(Oc4ncnc5ccccc45)n3)CC2)c(OC)c1OC
1364,155,CCOC(=O)c1cn(CC(O)Cn2cncn2)c2ccc(C)cc2c1=O
808,1288,O=C1CCCC2=C1C(c1cn(-c3ccccc3)nc1-c1ccc([N+](=O)[O-])cc1)CC(=O)N2c1ccc(F)cc1
1513,162,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cn(-c5ccccc5)nn4)CC3)cc21
1389,1292,Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N5C(=O)CSC5c5ccc(O)cc5)cc4)nc(N(C)C)n3)ccc12
1188,163,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1c[n+](c2ccccc21)Cc1ccc(cc1)C(=O)c1ccc2c(c1)c1cc(ccc1n2CC)C(=O)c1ccc(cc1)C[n+]1cn(c2ccccc21)Cc1ccc(cc1)C3=O.[Br-].[Br-]
38,1388,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
934,611,N=C(c1ccc2cc(-c3ccc(Oc4ccc(-c5cc6ccc(C(=N)N7CCC(N8CCCC8)CC7)cc6[nH]5)cc4)cc3)[nH]c2c1)N1CCC(N2CCCC2)CC1
87,1511,CCOC(=O)c1cn(CC2CO2)c2ccc(F)cc2c1=O
1291,1443,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
806,750,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cn(-c5ccc(C)cc5)nn4)CC3)cc21
1243,266,CCCCOc1cc(C)c2c(c1C(C)C)C=C(C)C(=O)C2=O
729,1381,O=c1c(F)cn(Cc2nc3ccccc3n2Cc2cccc(F)c2)c(=O)n1Cc1cccc(F)c1
885,889,CC(=O)N1CCN(c2nc(Nc3ccc(C#N)c(C(F)(F)F)c3)nc(Oc3ncnc4ccccc34)n2)CC1
364,1147,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1043,1519,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
674,539,C=CC(C)(C)c1c(O)c(CC=C(C)C)c(O)c2c(=O)c3ccc(O)c(O)c3oc12
585,91,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
291,951,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3CC(N)C(O)C(CO)O3)C2O)O1
1022,1375,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
269,1466,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
683,714,O=C(OCc1cn(-c2ccc(F)cc2Cl)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc(F)cc5Cl)nn4)CC3)c(F)cc2c1=O
1001,342,N#Cc1c(-c2ccc(F)cc2)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)nc1N
882,1555,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
341,1098,Clc1ccccc1-n1cc(CN(Cc2cn(-c3ccccc3Cl)nn2)c2nc3ccccc3s2)nn1
455,97,N#CC1=C(N)OC2=C(C(=O)c3ccccc3C2=O)C1c1cc2ccccc2nc1N1CCOCC1
479,805,O=C1CCCC2=C1C(c1cn(-c3ccccc3)nc1-c1ccc(Br)cc1)CC(=O)N2c1ccc(F)cc1
1058,861,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
886,1037,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
0,791,CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1cn(-c2ccccc2)nc1-c1ccccc1
1437,1235,N#Cc1c(-c2ccccc2O)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)nc1N
481,1527,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1027,139,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1cc[n+](c1)Cc1ccc(cc1)C(=O)c1ccc2c(c1)c1cc(ccc1n2CC)C(=O)c1ccc(cc1)C[n+]1ccn(c1)Cc1ccc(cc1)C3=O.[Br-].[Br-]
451,870,CCn1cc(C(=O)NNS(=O)(=O)c2ccc(C)cc2)c(=O)c2cc(F)c(Cl)cc21
849,1200,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1016,1039,CCn1c(-c2cc(OC)c(O)c3c2CC2c4cc5c(cc4CCN2C3)OCO5)nc2ccccc21
1160,1113,CCCCCCCCCCCCn1c(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)nc2ccccc21.[Cl-]
548,1264,Nc1ncc(-c2cn(Cc3ccccc3F)c3c(F)cc(F)cc3c2=O)s1
1353,790,O=c1cc(OCc2nnc(-c3ccc(Br)cc3)[nH]2)c2ccccc2o1
991,497,O=C1N(c2ccc(Cl)cc2)CC(=S)N1c1ccc(Cl)c(Cl)c1
1126,39,Cc1cn(C2C=CC(COC(=O)CN3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)O2)c(=O)[nH]c1=O
1555,580,Fc1ccc(-n2cc(CN(Cc3cn(-c4ccc(F)cc4F)nn3)c3nc4ccccc4s3)nn2)c(F)c1
1132,1041,COc1cc(-c2nc3ccccc3n2Cc2ccc(Cl)cc2)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
185,1207,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1275,532,COc1ccc(C2SC(CN3CCN(c4ccccn4)CC3)C(=O)N2c2ccc(Nc3nc(Oc4ccc5c(C)cc(=O)oc5c4)nc(N(C)C)n3)cc2)cc1
1358,510,N#CC(=S)Nc1ccc(Cl)c(Cl)c1
968,1476,CCOc1ccc2c(c1)sc1nc(-c3ccccc3)c(COCc3cn(Cc4cccc(Cl)c4)nn3)n12
707,923,O=C(O)c1cn(CC(O)Cn2cncn2)c2c(Cl)cc(Cl)cc2c1=O
421,321,Cc1ccc(-c2nnc(COc3cc(=O)oc4ccccc34)[nH]2)cc1
242,1145,O=C(OCc1cn(-c2ccc(F)c(Cl)c2)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc(F)cc5Cl)nn4)CC3)c(F)cc2c1=O
393,1387,CC1CC(C)CN(c2nc(-c3ccc(NCC(=O)Nc4ccc(Br)cc4)cc3)nc(N3CC(C)CC(C)C3)n2)C1
655,113,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1120,359,Cc1cc(=O)oc2cc(OCCCCCn3cncn3)cc(OCCCCCn3cncn3)c12
232,140,O=C(O)c1cn(CC(O)Cn2cncn2)c2ccc(F)cc2c1=O
561,1545,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
477,271,CCOc1ccc2c(c1)sc1nc(-c3ccccc3)c(COCc3cn(Cc4ccc([N+](=O)[O-])cc4)nn3)n12
