,PC1
ExtFP1015,0.0310869496537237
FP312,0.03107885069638773
FP954,0.0309898234435941
AATS1m,0.03098914260161945
FP543,0.03088237730353487
GATS7c,0.030861528416216893
PubchemFP340,0.03083286344920957
APC2D8_C_N,0.03071632217916325
AATS8s,0.030659406664122882
FMF,0.030633949402608357
FP272,0.03060789455276161
GraphFP886,0.03059000503166415
GraphFP225,0.03052794273852135
GraphFP493,0.030518571900639994
C2SP2,0.03049275835933819
APC2D9_C_O,0.030492247087778025
AMR,0.030386715790408282
ATS0m,0.030191300743974057
FP352,0.030174553549000224
ExtFP352,0.030137530572334238
FP499,0.030090085848457706
ExtFP545,0.029986705549893973
GraphFP200,0.0299613756632141
APC2D6_N_O,0.029904549683602646
ExtFP227,0.029813787293192017
FP953,0.029786626619929132
ExtFP705,0.029752357105746984
ExtFP913,0.02973960574047472
GATS7v,0.029728868052151323
FP651,0.02971195776636344
MACCSFP150,0.02969646777805447
ExtFP908,0.029681326306869763
APC2D5_C_O,0.02967039596943878
GraphFP311,0.02958845975289928
FP179,0.029539990716001052
APC2D8_C_O,0.029537837175194825
ExtFP990,0.02953220218888443
APC2D7_C_O,0.029458928855215366
FP473,0.029435298864039974
GraphFP245,0.029425314411194007
ExtFP763,0.029405931655589777
GraphFP320,0.029385466053783314
SubFPC275,0.029340910106781484
GATS1m,0.029310512504671545
PubchemFP376,0.029296438762192695
ExtFP607,0.02928106723023968
FP337,0.029225702939887632
GraphFP175,0.029195549003431603
FP959,0.029183068730624793
C1SP2,0.0290091056199835
AD2D703,0.028992672476855247
SCH-6,0.028941055918280566
FP106,0.028916690799522814
ExtFP232,0.02889962268696922
GATS3e,0.02888671048156638
ExtFP373,0.02883450663716858
ExtFP454,0.028780591492535736
ExtFP482,0.028780032198987622
ExtFP742,0.028774899665457054
ExtFP282,0.02873741546837661
AATS2s,0.028644929820304105
FP301,0.028615804481641697
GraphFP362,0.028588627788587086
CrippenLogP,0.02853268621600075
FP392,0.028506718916246152
PubchemFP2,0.028481888342608338
ExtFP184,0.0284461246839807
ExtFP474,0.028393243361188685
KRFPC4080,0.028330687147521023
ExtFP390,0.02832975629024025
GATS5e,0.028311371546398716
ExtFP312,0.02826714440887881
FP867,0.028265965994178292
GATS6c,0.028264354419625787
GATS2m,0.02822027870874633
ExtFP746,0.028181748441522707
ExtFP351,0.028145694164495985
PubchemFP192,0.028133118323898636
ExtFP785,0.02813044756740382
GraphFP317,0.028099225669939953
FP721,0.02808879437849105
FP43,0.02804943021813782
ExtFP425,0.028029853419993218
ExtFP63,0.02799077184253628
AD2D404,0.02797853010546645
FP223,0.027931821138018696
GraphFP411,0.027899589044049523
FP182,0.027868391961109597
FP913,0.02786763327937166
ExtFP790,0.027861644415070327
ExtFP168,0.02785514176595299
FP496,0.027849139503291744
ExtFP12,0.027846145752511747
ExtFP11,0.027810830327962697
GraphFP382,0.02780572194208384
FP773,0.0277702926679745
ExtFP753,0.027766686205446384
MACCSFP75,0.027759411144700215
AD2D705,0.027740232945858666
PubchemFP377,0.027674224316934868
FP1015,0.0276655400367389
ExtFP452,0.027654434922326887
n6HeteroRing,0.02763153993839335
ExtFP613,0.02763114527115575
FP930,0.027614479219222277
GraphFP534,0.02760416244679226
FP453,0.027559757574951303
GATS1e,0.027555279675228448
FP145,0.027552660250886218
GATS6m,0.027551581963731874
FP124,0.02749678740992012
ExtFP391,0.027453548521080468
GraphFP255,0.02743244166509723
FP984,0.027429890578498976
FP407,0.02742440079344269
FP94,0.027420267157128437
ExtFP862,0.027389388607348637
FP907,0.02738503415507644
GraphFP578,0.02737025955420557
MACCSFP62,0.027356461286953217
ExtFP508,0.027307316030273452
ExtFP422,0.027280821864731377
MACCSFP133,0.027249454281125986
MACCSFP125,0.027230470290617977
ExtFP270,0.027220344090311984
FP130,0.027209440598363676
