,Feature,Importance
151,MATS4s,0.001732080498677492
214,VE1_Dzv,0.0017195150739569528
59,ATSC4c,0.00170835960752921
326,JGI6,0.0017015968336133126
3259,AD2D173,0.001695717109898623
22,AATS0v,0.001692872564667756
207,GATS8s,0.0016906643559970213
76,ATSC5v,0.001689039480953648
3101,GraphFP851,0.0016699093526791275
236,C2SP3,0.0016610829403740624
211,VR1_DzZ,0.0016374457642123227
3075,GraphFP820,0.0016336638795648123
34,AATS8e,0.001629864824862054
1533,ExtFP183,0.0016272443860495729
30,AATS4e,0.001623423799226672
286,IC2,0.0016101993201445778
271,ETA_Shape_P,0.0016069253005949072
148,MATS1s,0.0015996071400120138
129,AATSC6p,0.0015839928183867097
227,BCUTp-1l,0.0015785516425172045
145,MATS7m,0.0015785241716620548
191,GATS8p,0.001576459060903934
171,GATS8m,0.0015762864975082964
130,AATSC7p,0.0015734049698401492
193,GATS2i,0.001571595247545578
1596,ExtFP247,0.0015571306323977846
27,AATS7v,0.001548458407829463
78,ATSC7v,0.0015441483123929962
204,GATS5s,0.0015417093946937558
537,FP204,0.0015359954954485043
488,FP155,0.0015294342856869416
256,ASP-7,0.0015078082274245824
131,AATSC8p,0.0015068122475593087
1,apol,0.001504680480955491
142,MATS4m,0.001499169447296947
48,AATS2s,0.0014986107517088198
163,GATS8c,0.0014982465434249784
147,MATS2e,0.001494082658851589
1753,ExtFP405,0.0014816919557634296
107,AATSC0c,0.0014788921047800998
1279,FP951,0.0014733303394172828
17,AATS1m,0.0014716262727278858
52,AATS6s,0.0014635171059535152
11,nX,0.001457265673852865
587,FP255,0.0014465701297186094
80,ATSC1e,0.0014386225650130221
165,GATS2m,0.0014350284297732698
183,GATS8e,0.0014317162187563936
175,GATS8v,0.0014255815723234644
61,ATSC6c,0.0014219508909797131
920,FP590,0.0014107812212808821
203,GATS4s,0.0014071548517400158
146,MATS8m,0.0014005815631535081
149,MATS2s,0.0013929700680670814
68,ATSC5m,0.001386674632900864
2043,ExtFP697,0.0013846360920741756
198,GATS7i,0.0013807326868018523
2026,ExtFP680,0.0013646157874041857
318,RotBFrac,0.0013642615787835522
342,FP9,0.0013583082404564724
141,MATS3m,0.0013530673265636708
209,VE1_DzZ,0.0013455095057226711
480,FP147,0.0013305710719502715
13,ATS4m,0.0013226956432782818
274,ETA_BetaP,0.001320284322061914
278,ETA_EtaP,0.0013197658190945856
243,SC-3,0.0013172816054049985
56,ATSC1c,0.0013162330147383128
164,GATS1m,0.001316168767653834
150,MATS3s,0.00131330104174353
67,ATSC4m,0.001310743407857683
155,MATS8s,0.0013079935964429759
31,AATS5e,0.0012938914835871867
282,nHBAcc_Lipinski,0.001292853911242552
24,AATS4v,0.0012915596467951247
1716,ExtFP368,0.0012861842312527317
904,FP573,0.0012861178251005307
2242,ExtFP899,0.0012847795824817607
105,ATSC7s,0.0012825957968983293
36,AATS4p,0.001274833991166925
2793,GraphFP491,0.0012723865945632937
1752,ExtFP404,0.0012712095411513658
166,GATS3m,0.00126772860384768
2750,GraphFP440,0.0012659864209246417
293,MIC1,0.0012651828022427303
1007,FP677,0.0012628705576125856
208,SM1_DzZ,0.0012624600332630878
1278,FP950,0.001259261018130203
190,GATS7p,0.0012583471911149333
1653,ExtFP305,0.001255977781650345
1956,ExtFP610,0.0012535913113736244
39,AATS2i,0.0012532322437417427
220,VE3_Dzs,0.001231091535384962
90,ATSC7p,0.0012282835099051872
1695,ExtFP347,0.0012257177378561693
815,FP484,0.001216752863786879
2430,GraphFP89,0.0012106253040677366
104,ATSC5s,0.001210125598551712
1778,ExtFP430,0.0012059103779697728
261,ECCEN,0.0012001655177947474
35,AATS0p,0.0011977346512490124
559,FP226,0.001197321276491885
128,AATSC5p,0.0011914550898406593
260,VE2_Dt,0.0011846859596173597
98,ATSC7i,0.001184270434410108
23,AATS3v,0.0011730905105665939
247,VC-3,0.0011699859239472572
1078,FP750,0.0011695487491230135
101,ATSC2s,0.0011664136252262985
1968,ExtFP622,0.0011654549610430357
2238,ExtFP895,0.0011556042568960168
541,FP208,0.0011530149014803027
771,FP440,0.0011518780094087187
1863,ExtFP515,0.0011483003415251013
218,VE1_Dzs,0.0011469525206974915
259,VE1_Dt,0.0011446867864699972
194,GATS3i,0.001141424718170421
310,MDEN-12,0.0011376675697170136
53,AATS7s,0.0011326729239138434
118,AATSC0v,0.0011293198161914627
26,AATS6v,0.0011275157983414547
1327,FP1000,0.00111547124817035
71,ATSC8m,0.0011154642366837425
43,AATS6i,0.00111247729326973
1800,ExtFP452,0.0011095162346685375
2729,GraphFP412,0.0011092408666009978
962,FP632,0.001107566006139437
1331,FP1004,0.001106535024619141
114,AATSC5m,0.0011014414593475991
1301,FP974,0.0010963380617696472
1284,FP956,0.0010946885358892725
1297,FP969,0.0010880646387446092
15,ATS2s,0.001084769439324966
2075,ExtFP731,0.0010835115109180445
172,GATS2v,0.0010806377401192508
1074,FP746,0.0010785504456262947
250,VC-6,0.0010750219969599877
909,FP579,0.0010650524609075996
319,RotBtFrac,0.0010597607643505938
481,FP148,0.0010574130520565423
138,AATSC8s,0.0010569736962502269
81,ATSC2e,0.0010539929080493236
94,ATSC3i,0.001052568958279865
2494,GraphFP156,0.0010507719800203572
1799,ExtFP451,0.0010462777970245238
2963,GraphFP690,0.0010413207101078778
307,MDEO-12,0.0010405205545614069
3184,GraphFP951,0.0010397894267567605
221,VR1_Dzs,0.001038105601196158
3412,AD2D651,0.001033619443112179
1171,FP843,0.0010315413746784527
62,ATSC7c,0.0010262224240742187
2161,ExtFP817,0.0010227515120620322
292,MIC0,0.0010152029040613971
870,FP539,0.0010112855457700546
1262,FP934,0.0010076015629689832
2474,GraphFP135,0.001006632033172002
665,FP333,0.0010066020744679259
1046,FP716,0.0010056500269923997
77,ATSC6v,0.0009998014346922343
162,GATS7c,0.0009921641437102174
88,ATSC1p,0.0009887601385758478
752,FP421,0.0009819165990417162
3233,GraphFP1012,0.0009791199056693241
117,AATSC8m,0.0009785764671090566
1884,ExtFP536,0.0009768732991795501
192,GATS1i,0.000970220972283895
1096,FP768,0.0009694270819122324
654,FP322,0.000968947203020483
96,ATSC5i,0.000964168175039574
258,SpMax_Dt,0.0009540383411422293
2985,GraphFP713,0.0009532076621500436
249,VC-5,0.0009523704697403931
1002,FP672,0.0009487016181449591
169,GATS6m,0.0009472398015479039
1912,ExtFP566,0.0009468288987886035
988,FP658,0.000946801661001008
1109,FP781,0.0009438020096793936
725,FP394,0.0009436007527244822
216,VR1_Dzp,0.0009398705589989622
66,ATSC3m,0.0009396134934563385
2298,ExtFP957,0.0009347853880091579
1687,ExtFP339,0.0009339295194213743
1041,FP711,0.0009329225323379731
168,GATS5m,0.0009324018244525878
199,GATS8i,0.0009315292744978243
1543,ExtFP194,0.0009298259579726876
2147,ExtFP803,0.0009258294383779851
528,FP195,0.000917372369826608
64,ATSC1m,0.0009122770205671803
277,ETA_BetaP_ns_d,0.000911452839268691
115,AATSC6m,0.0009104552072154204
1898,ExtFP551,0.00090917341514361
313,MDEN-23,0.0009084311510296633
133,AATSC7i,0.0009070361573026734
16,AATS0m,0.0009019762346738571
1440,ExtFP90,0.0009016701844710524
1944,ExtFP598,0.0009013864432008288
100,ATSC1s,0.0009012307787530177
1667,ExtFP319,0.0008992638923418928
291,SIC3,0.0008956493184096146
28,AATS8v,0.0008952959707732702
288,SIC0,0.0008945663682597665
348,FP15,0.0008928293768644309
180,GATS5e,0.0008858385849944045
713,FP381,0.0008821404072765127
1670,ExtFP322,0.0008770828447580361
187,GATS4p,0.0008765472571077328
1614,ExtFP265,0.0008753375020111964
185,GATS2p,0.0008749738341156287
2256,ExtFP914,0.000872408033409476
265,ETA_Epsilon_3,0.0008645544398843245
21,AATS8m,0.000856659325163839
